"spec_id","instrument","role","resolution","data","covariance_model","criterion"
"S194","IPIP50","confirmatory","facet","null","VEV","ICL"
"S195","IPIP50","confirmatory","facet","null","EVV","ICL"
"S196","IPIP50","confirmatory","facet","null","VVV","ICL"
"S197","IPIP50","confirmatory","facet","real","EII","BIC"
"S198","IPIP50","confirmatory","facet","real","VII","BIC"
"S199","IPIP50","confirmatory","facet","real","EEI","BIC"
"S200","IPIP50","confirmatory","facet","real","VEI","BIC"
"S201","IPIP50","confirmatory","facet","real","EVI","BIC"
"S202","IPIP50","confirmatory","facet","real","VVI","BIC"
"S203","IPIP50","confirmatory","facet","real","EEE","BIC"
"S204","IPIP50","confirmatory","facet","real","EVE","BIC"
"S205","IPIP50","confirmatory","facet","real","VEE","BIC"
"S206","IPIP50","confirmatory","facet","real","VVE","BIC"
"S207","IPIP50","confirmatory","facet","real","EEV","BIC"
"S208","IPIP50","confirmatory","facet","real","VEV","BIC"
"S209","IPIP50","confirmatory","facet","real","EVV","BIC"
"S210","IPIP50","confirmatory","facet","real","VVV","BIC"
"S211","IPIP50","confirmatory","facet","real","EII","ICL"
"S212","IPIP50","confirmatory","facet","real","VII","ICL"
"S213","IPIP50","confirmatory","facet","real","EEI","ICL"
"S214","IPIP50","confirmatory","facet","real","VEI","ICL"
"S215","IPIP50","confirmatory","facet","real","EVI","ICL"
"S216","IPIP50","confirmatory","facet","real","VVI","ICL"
"S217","IPIP50","confirmatory","facet","real","EEE","ICL"
"S218","IPIP50","confirmatory","facet","real","EVE","ICL"
"S219","IPIP50","confirmatory","facet","real","VEE","ICL"
"S220","IPIP50","confirmatory","facet","real","VVE","ICL"
"S221","IPIP50","confirmatory","facet","real","EEV","ICL"
"S222","IPIP50","confirmatory","facet","real","VEV","ICL"
"S223","IPIP50","confirmatory","facet","real","EVV","ICL"
"S224","IPIP50","confirmatory","facet","real","VVV","ICL"
"S225","NEO120","confirmatory","domain","null","EII","BIC"
"S226","NEO120","confirmatory","domain","null","VII","BIC"
"S227","NEO120","confirmatory","domain","null","EEI","BIC"
"S228","NEO120","confirmatory","domain","null","VEI","BIC"
"S229","NEO120","confirmatory","domain","null","EVI","BIC"
"S230","NEO120","confirmatory","domain","null","VVI","BIC"
"S231","NEO120","confirmatory","domain","null","EEE","BIC"
"S232","NEO120","confirmatory","domain","null","EVE","BIC"
"S233","NEO120","confirmatory","domain","null","VEE","BIC"
"S234","NEO120","confirmatory","domain","null","VVE","BIC"
"S235","NEO120","confirmatory","domain","null","EEV","BIC"
"S236","NEO120","confirmatory","domain","null","VEV","BIC"
"S237","NEO120","confirmatory","domain","null","EVV","BIC"
"S238","NEO120","confirmatory","domain","null","VVV","BIC"
"S239","NEO120","confirmatory","domain","null","EII","ICL"
"S240","NEO120","confirmatory","domain","null","VII","ICL"
"S241","NEO120","confirmatory","domain","null","EEI","ICL"
"S242","NEO120","confirmatory","domain","null","VEI","ICL"
"S243","NEO120","confirmatory","domain","null","EVI","ICL"
"S244","NEO120","confirmatory","domain","null","VVI","ICL"
"S245","NEO120","confirmatory","domain","null","EEE","ICL"
"S246","NEO120","confirmatory","domain","null","EVE","ICL"
"S247","NEO120","confirmatory","domain","null","VEE","ICL"
"S248","NEO120","confirmatory","domain","null","VVE","ICL"
"S249","NEO120","confirmatory","domain","null","EEV","ICL"
"S250","NEO120","confirmatory","domain","null","VEV","ICL"
"S251","NEO120","confirmatory","domain","null","EVV","ICL"
"S252","NEO120","confirmatory","domain","null","VVV","ICL"
"S253","NEO120","confirmatory","domain","real","EII","BIC"
"S254","NEO120","confirmatory","domain","real","VII","BIC"
"S255","NEO120","confirmatory","domain","real","EEI","BIC"
"S256","NEO120","confirmatory","domain","real","VEI","BIC"
"S257","NEO120","confirmatory","domain","real","EVI","BIC"
"S258","NEO120","confirmatory","domain","real","VVI","BIC"
"S259","NEO120","confirmatory","domain","real","EEE","BIC"
"S260","NEO120","confirmatory","domain","real","EVE","BIC"
"S261","NEO120","confirmatory","domain","real","VEE","BIC"
"S262","NEO120","confirmatory","domain","real","VVE","BIC"
"S263","NEO120","confirmatory","domain","real","EEV","BIC"
"S264","NEO120","confirmatory","domain","real","VEV","BIC"
"S265","NEO120","confirmatory","domain","real","EVV","BIC"
"S266","NEO120","confirmatory","domain","real","VVV","BIC"
"S267","NEO120","confirmatory","domain","real","EII","ICL"
"S268","NEO120","confirmatory","domain","real","VII","ICL"
"S269","NEO120","confirmatory","domain","real","EEI","ICL"
"S270","NEO120","confirmatory","domain","real","VEI","ICL"
"S271","NEO120","confirmatory","domain","real","EVI","ICL"
"S272","NEO120","confirmatory","domain","real","VVI","ICL"
"S273","NEO120","confirmatory","domain","real","EEE","ICL"
"S274","NEO120","confirmatory","domain","real","EVE","ICL"
